epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,196.935,1.12284,1.79499,1.0976,1.19741,0.60302,0.52241,0.46546,0.21263,0.58872,0.4375,0.39345,0.17828,2.03681,5.28667,1.81504,2.04212,0.0015149,0.0015149,0.0015149
51,201.234,1.13644,1.84224,1.02782,1.18484,0.53148,0.59375,0.49817,0.24782,0.64489,0.45435,0.44353,0.20497,1.93048,4.84842,1.6938,1.96597,0.001505,0.001505,0.001505
52,206.349,1.07113,1.68366,1.03383,1.17234,0.54936,0.46875,0.39186,0.19992,0.54936,0.46875,0.36913,0.18129,1.95409,4.8618,1.88282,1.95047,0.0014951,0.0014951,0.0014951
53,209.495,1.10398,1.78703,0.97481,1.19705,0.51001,0.46875,0.4364,0.24206,0.51001,0.46875,0.4283,0.21925,1.91361,5.06337,1.91244,1.89673,0.0014852,0.0014852,0.0014852
54,212.597,1.30048,1.77937,1.12717,1.34702,0.57671,0.46836,0.46678,0.2149,0.57671,0.46836,0.44814,0.20954,1.923,5.36424,1.96888,1.73022,0.0014753,0.0014753,0.0014753
55,215.733,1.02025,1.62408,0.95434,1.10987,0.58485,0.59375,0.53145,0.27538,0.73086,0.46875,0.50381,0.24516,1.85367,5.04965,1.62229,1.79387,0.0014654,0.0014654,0.0014654
56,220.044,1.04853,1.64261,0.93801,1.13932,0.71983,0.56204,0.51677,0.24568,0.63914,0.5,0.41074,0.21271,1.87718,4.69007,1.56211,1.81003,0.0014555,0.0014555,0.0014555
57,224.751,1.12406,1.77381,0.96838,1.17654,0.65376,0.5,0.46452,0.25107,0.6655,0.46875,0.42138,0.18603,1.84144,4.99532,1.66612,1.78736,0.0014456,0.0014456,0.0014456
58,227.913,1.01386,1.55573,0.8906,1.11653,0.60868,0.5625,0.47626,0.25654,0.54081,0.5,0.39917,0.19625,1.88174,5.09164,1.81338,1.9221,0.0014357,0.0014357,0.0014357
59,230.988,1.01809,1.5577,0.88533,1.14571,0.79249,0.47769,0.51866,0.30789,0.74115,0.44774,0.41387,0.23236,1.86838,4.99236,1.7634,1.93184,0.0014258,0.0014258,0.0014258
60,234.219,1.03058,1.69425,0.91932,1.09979,0.47463,0.53653,0.40424,0.22118,0.44746,0.50627,0.36389,0.17266,1.91664,4.97879,1.89418,1.89719,0.0014159,0.0014159,0.0014159
61,238.855,1.05729,1.58163,1.00375,1.15251,0.55234,0.5,0.42937,0.25065,0.55234,0.5,0.40539,0.20068,1.83875,4.68456,1.81299,1.86655,0.001406,0.001406,0.001406
62,243.712,1.03798,1.73006,0.91411,1.09719,0.67245,0.5,0.48843,0.29312,0.67245,0.5,0.48058,0.2424,1.82557,4.42692,1.6001,1.80415,0.0013961,0.0013961,0.0013961
63,246.918,1.04694,1.84842,1.00305,1.1453,0.6837,0.5625,0.49719,0.29814,0.64377,0.53125,0.44443,0.24012,1.77497,4.35561,1.60488,1.8395,0.0013862,0.0013862,0.0013862
